"Claim No","State","CLASS","Gender","Age","Claim Amount"
"H00601","STATE 15","C6 ","M",,
"H00602","STATE 15","C11","F",80,
"H00603","STATE 03","C6 ",,,9811.3
"H00604","STATE 02","F6 ","F",,8493.76
"H00605","STATE 15","C11","M",80,6132.24
"H00606","STATE 15","C6 ","M",80,5037.9
"H00607","STATE 03","C11","M",80,4885.08
"H00608","STATE 15","C6 ","F",80,3978.09
"H00609","STATE 15","C6 ","F",80,3846.07
"H00610","STATE 17","F6 ","M",80,3809.83
"H00611","STATE 06","C1 ","M",80,0
"H00612","STATE 02","C11","M",80,3222.66
"H00613","STATE 03","C11","F",80,2997.83
"H00614","STATE 14","F6 ","M",80,2750
"H00615","STATE 02","C6 ","M",80,2607.81
"H00616","STATE 13","C11","M",80,2511.41
"H00617","STATE 17","C11","M",80,2254.87
"H00618","STATE 15","C6 ","M",80,2179.51
"H00619","STATE 13","C6 ","F",80,2149.17
"H00620","STATE 15","C6 ","M",80,1975
"H00621","STATE 17","C6 ","F",80,1897.85
"H00622","STATE 02","C6 ","M",80,1857.92
"H00623","STATE 15","C6 ","F",80,1697.72
"H00624","STATE 01","F6 ","M",80,1619.1
"H00625","STATE 02","C11",,80,1513.56
"H00626","STATE 04","C11","F",80,1500.65
"H00627","STATE 07","C6 ","M",,1488.14
"H00628","STATE 15","C11","M",80,1442.94
"H00629","STATE 15","C6 ",,80,1437.68
"H00630","STATE 15","C6 ","M",,1350.04
"H00631","STATE 04","C6 ","F",,1237.06
"H00632","STATE 14","C6 ","M",,1200
"H00633","STATE 15","C6 ","M",,1122.33
"H00634","STATE 02","F6 ","M",80,1113.38
"H00635","STATE 15","C1 ","M",80,1082.25
"H00636","STATE 06","C6 ","F",80,1059.58
"H00637","STATE 17","C11","M",80,1037.14
"H00638","STATE 14","C6 ","F",,1000.03
"H00639","STATE 17","C11","M",80,957.72
"H00640","STATE 12","C11","F",80,954.6
"H00641","STATE 14","F6 ","M",,953.15
"H00642","STATE 12","C6 ","M",80,917.88
"H00643","STATE 02","C6 ","M",80,903.93
"H00644","STATE 02","C11","M",80,870.6
"H00645","STATE 15","C6 ","F",80,860.34
"H00646","STATE 15","C6 ","M",80,849.68
"H00647","STATE 01","C6 ","F",,846.97
"H00648","STATE 02","C6 ","M",80,842.8
"H00649","STATE 02","C6 ","F",80,818.55
"H00650","STATE 10","C11","M",80,787.62
"H00651","STATE 04","C6 ","M",80,783.6
"H00652","STATE 17","F6 ","F",80,766.4
"H00653","STATE 17","C11","F",80,743.42
"H00654","STATE 03","C1 ","M",80,706.58
"H00655","STATE 15","C6 ","F",,703.76
"H00656","STATE 02","C6 ","F",80,677.88
"H00657","STATE 02","C1 ","F",80,673.76
"H00658","STATE 15","C6 ","F",80,663.17
"H00659","STATE 15","C11","M",80,640.4
"H00660","STATE 02","F6 ","M",,633.48
"H00661","STATE 14","F6 ","M",80,619.06
"H00662","STATE 01","F1 ","F",80,605.43
"H00663","STATE 07","C6 ","F",80,600
"H00664","STATE 06","C2 ","M",80,544.9
"H00665","STATE 15","C6 ","F",,497.35
"H00666","STATE 02","C11","F",80,465.45
"H00667","STATE 15","C6 ","M",80,454.65
"H00668","STATE 06","C1B","F",80,419.18
"H00669","STATE 04","C11","F",80,408.73
"H00670","STATE 15","C6 ","F",,399.29
"H00671","STATE 15","C11","M",80,371.6
"H00672","STATE 15","C6 ",,80,370.79
"H00673","STATE 17","C11","F",80,366.19
"H00674","STATE 03","C11","F",80,342.08
"H00675","STATE 03","C11","M",80,312.58
"H00676","STATE 15","C11","M",80,308.7
"H00677","STATE 17","C11","M",80,298.62
"H00678","STATE 02","C11","M",80,220
"H00679","STATE 15","C6 ","M",80,220
"H00680","STATE 12","C6 ","M",80,208.85
"H00681","STATE 02","C6 ","F",,206.05
"H00682","STATE 15","C6 ","M",80,189.06
"H00683","STATE 15","C11","F",80,175
"H00684","STATE 15","C6 ","M",80,160.2
"H00685","STATE 17","C11","F",80,133.75
"H00686","STATE 15","C2 ","M",80,130.94
"H00687","STATE 15","C1 ","F",80,105.5
"H00688","STATE 15","C6 ","M",80,81.24
"H00689","STATE 15","C6 ","F",80,75
"H00690","STATE 02","C6 ","M",80,65.84
"H00691","STATE 15","C6 ","F",,35.45
"H00692","STATE 02","C6 ","M",80,35
"H00693","STATE 12","C1B","F",80,25
"H00694","STATE 15","F11","M",,23015.61
"H00695","STATE 12","C1 ",,79,
"H00696","STATE 12","C6 ","F",79,8323.31
"H00697","STATE 15","C6 ","M",79,7085.35
"H00698","STATE 15","C1 ","F",,
"H00699","STATE 15","C1 ","F",79,6751.49
"H00700","STATE 04","C11","M",79,6419.37
"H00701","STATE 17","C6 ","F",79,6291.84
"H00702","STATE 10","F6 ","M",79,
"H00703","STATE 15","C6 ","M",79,5601.33
"H00704","STATE 15","C6 ","M",,
"H00705","STATE 15","C6 ","F",79,5262.48
"H00706","STATE 15","C6 ","M",79,4921.14
"H00707","STATE 15","C11","M",79,
"H00708","STATE 14","C6 ","M",,4096.58
"H00709","STATE 02","C11","M",79,3749.91
"H00710","STATE 02","C1 ","M",79,3708.88
"H00711","STATE 14","F6 ",,79,3471.25
"H00712","STATE 15","C6 ","M",79,3334.65
"H00713","STATE 15","C6 ","F",79,3126.33
"H00714","STATE 15","C11","F",79,3009.29
"H00715","STATE 15","C1 ","M",79,2458.07
"H00716","STATE 04","C6 ","M",,2425.62
"H00717","STATE 06","C1 ","M",79,2360.95
"H00718","STATE 15","C6 ","M",79,2360.87
"H00719","STATE 15","C6 ","M",,2173.7
"H00720","STATE 02","C11","M",79,2011.26
"H00721","STATE 15","F6 ","M",,1954.97
"H00722","STATE 04","C11","F",79,1937.14
"H00723","STATE 06","C1 ","F",79,1764.25
"H00724","STATE 15","C6 ","F",79,1755.95
"H00725","STATE 01","F6 ","M",79,1724.86
"H00726","STATE 17","F6 ","M",,1690.5
"H00727","STATE 04","C11","M",79,1614
"H00728","STATE 17","C11","F",79,1515.02
"H00729","STATE 15","C6 ","F",,1445.35
"H00730","STATE 04","C11","M",79,1443.65
"H00731","STATE 17","C11","M",79,1433.45
"H00732","STATE 14","C1 ","M",79,1404.12
"H00733","STATE 15","C6 ","F",79,1288.76
"H00734","STATE 15","C6 ","F",79,1279.43
"H00735","STATE 15","C11","M",79,1271.81
"H00736","STATE 02","C6 ","M",,1250
"H00737","STATE 17","C6 ","M",,1176.91
"H00738","STATE 15","C1 ","M",79,1170.56
"H00739","STATE 15","C6 ","M",79,1160.63
"H00740","STATE 15","C6 ","M",,1113.92
"H00741","STATE 04","C6 ","F",79,1098.37
"H00742","STATE 15","C6 ","M",,1051.93
"H00743","STATE 15","C6 ","M",,1048.32
"H00744","STATE 15","C6 ","F",79,998.28
"H00745","STATE 15","C11","M",79,987.19
"H00746","STATE 15","C6 ","F",,959.81
"H00747","STATE 17","C11","F",79,928.81
"H00748","STATE 04","C11","F",79,914.62
"H00749","STATE 02","C11","F",79,897.41
"H00750","STATE 15","C6 ","F",79,891.44
"H00751","STATE 15","C6 ","F",79,853.46
"H00752","STATE 15","C1B","M",79,830.26
"H00753","STATE 02","C11","F",79,821.48
"H00754","STATE 02","C6 ","M",79,821
"H00755","STATE 12","C6 ","M",79,818.79
"H00756","STATE 17","C11","F",79,796.55
"H00757","STATE 15","C11","F",79,779.25
"H00758","STATE 06","C6 ","M",,773.72
"H00759","STATE 04","C11","F",79,705.2
"H00760","STATE 06","C11","F",79,659
"H00761","STATE 02","C11","M",79,658.98
"H00762","STATE 15","C6 ",,79,651.57
"H00763","STATE 01","F6 ","M",,646.79
"H00764","STATE 03","C11","F",79,616.53
"H00765","STATE 15","C6 ","M",,603.09
"H00766","STATE 15","C6 ","M",79,600.83
"H00767","STATE 03","C11","F",79,586.25
"H00768","STATE 17","C6 ",,,584.61
"H00769","STATE 12","C6 ","M",79,557.96
"H00770","STATE 15","F6 ","M",79,525
"H00771","STATE 02","C6 ","M",79,485.9
"H00772","STATE 04","C11","M",79,481
"H00773","STATE 15","C6 ","M",79,466.8
"H00774","STATE 02","C11","M",79,457.64
"H00775","STATE 07","C11","F",79,450.11
"H00776","STATE 15","C6 ","F",79,437.03
"H00777","STATE 02","C11","M",79,417.04
"H00778","STATE 15","C6 ","M",79,403.97
"H00779","STATE 15","C6 ","F",,399.9
"H00780","STATE 15","C11","F",79,395.01
"H00781","STATE 15","C6 ","F",79,371.63
"H00782","STATE 15","C11","F",79,365.5
"H00783","STATE 02","C6 ","M",,363.93
"H00784","STATE 15","C6 ","M",,355
"H00785","STATE 10","C11","F",79,319.48
"H00786","STATE 15","C6 ","M",,317.5
"H00787","STATE 03","C11","F",79,302.45
"H00788","STATE 15","C6 ","M",79,300
"H00789","STATE 02","C6 ","M",79,299.63
"H00790","STATE 15","C1 ","M",79,297.28
"H00791","STATE 14","C6 ","M",79,295.27
"H00792","STATE 15","C6 ","M",,280.05
"H00793","STATE 03","C11","M",79,275.43
"H00794","STATE 15","C11","M",79,233.42
"H00795","STATE 06","C6 ","F",79,218.48
"H00796","STATE 01","C6 ","M",,196.81
"H00797","STATE 15","C6 ",,79,146.56
"H00798","STATE 15","C6 ","M",79,115.61
"H00799","STATE 15","C11","F",79,100
"H00800","STATE 13","C11","M",,94.5
"H00801","STATE 15","C6 ","M",79,50
"H00802","STATE 02","C11","F",79,37.9
"H00803","STATE 03","C11","F",78,21986.1
"H00804","STATE 15","C6 ","F",78,15128.09
"H00805","STATE 15","C6 ","F",,14651.31
"H00806","STATE 15","C11","M",78,13068.69
"H00807","STATE 03","C11","M",78,10661.97
"H00808","STATE 02","C11","M",78,6754.81
"H00809","STATE 15","C11","M",78,6308.16
"H00810","STATE 12","C1 ","M",78,
"H00811","STATE 15","C1 ","F",78,
"H00812","STATE 15","C6 ","F",78,4894.66
"H00813","STATE 10","C1 ","M",78,
"H00814","STATE 15","C11","M",78,
"H00815","STATE 12","C6 ","M",78,4602.83
"H00816","STATE 06","C6 ","M",78,4502.15
"H00817","STATE 06","C1 ","M",78,4335.74
"H00818","STATE 07","C6 ","F",,4114.24
"H00819","STATE 04","C6 ","M",78,4033.65
"H00820","STATE 06","C6 ",,78,3611.65
"H00821","STATE 15","C11","F",78,3604.81
"H00822","STATE 17","C6 ","M",78,3404.67
"H00823","STATE 15","C11","M",78,3057.71
"H00824","STATE 03","F6 ","F",,3045.7
"H00825","STATE 04","F6 ","M",,2983.13
"H00826","STATE 17","C11","F",78,2884.46
"H00827","STATE 15","C1 ","F",78,2805.09
"H00828","STATE 02","C6 ","F",78,2742.24
"H00829","STATE 15","C6 ","F",78,2591.33
"H00830","STATE 07","C6 ","M",78,2536.93
"H00831","STATE 15","C6 ","M",78,2529.89
"H00832","STATE 15","C6 ","F",,2497.72
"H00833","STATE 15","C11","M",78,2473.5
"H00834","STATE 15","C11","M",,2419.75
"H00835","STATE 15","C1 ","M",78,2382.7
"H00836","STATE 02","C11","M",78,2272.12
"H00837","STATE 15","C6 ","M",78,2266.97
"H00838","STATE 07","C11","F",78,2189.59
"H00839","STATE 15","F6 ","F",78,2008.04
"H00840","STATE 02","F6 ","M",78,1917.5
"H00841","STATE 17","C6 ","F",,1897.25
"H00842","STATE 15","C6 ","F",78,1858.52
"H00843","STATE 06","C11","F",78,1830.94
"H00844","STATE 03","C6 ","M",78,1800.65
"H00845","STATE 15","C6 ","M",78,1712.42
"H00846","STATE 17","C6 ","M",,1672.67
"H00847","STATE 06","C11","M",78,1658.12
"H00848","STATE 15","C11","M",78,1625.13
"H00849","STATE 14","F11","M",78,1597.37
"H00850","STATE 15","C6 ","F",78,1502.91
"H00851","STATE 06","C6 ","M",78,1465.08
"H00852","STATE 04","C11","M",78,1389.18
"H00853","STATE 07","C11","F",,1356.31
"H00854","STATE 10","C11","M",78,1347.74
"H00855","STATE 14","C6 ","M",,1321.88
"H00856","STATE 01","F6 ","M",,1321.7
"H00857","STATE 04","C11","M",78,1308
"H00858","STATE 12","C6 ","M",,1307.37
"H00859","STATE 17","C11","M",78,1305
"H00860","STATE 02","C11",,78,1303.88
"H00861","STATE 15","C1 ","M",78,1294.47
"H00862","STATE 17","C6 ","F",78,1290.15
"H00863","STATE 15","C6 ","F",78,1281.3
"H00864","STATE 06","C6 ","M",78,1277.87
"H00865","STATE 04","C11","M",,1233.72
"H00866","STATE 02","C6 ","F",78,1135
"H00867","STATE 15","C11",,78,1109.37
"H00868","STATE 12","C6 ","F",78,1077.95
"H00869","STATE 17","C11","F",78,1072.58
"H00870","STATE 15","C6 ","M",78,1070.04
"H00871","STATE 17","C11","M",78,1002.7
"H00872","STATE 15","C6 ","M",78,981.86
"H00873","STATE 15","C6 ","M",,980.83
"H00874","STATE 04","C11","M",78,958.41
"H00875","STATE 04","C11",,78,954.54
"H00876","STATE 15","C6 ","M",78,929.82
"H00877","STATE 12","C6 ","M",,843.98
"H00878","STATE 15","C11","M",78,817.62
"H00879","STATE 15","C6 ","F",78,774.78
"H00880","STATE 02","C6 ","F",,766.39
"H00881","STATE 17","C6 ",,78,728.2
"H00882","STATE 15","F6 ","F",,712
"H00883","STATE 02","C11","M",78,699.5
"H00884","STATE 07","C6 ","F",78,695.16
"H00885","STATE 15","C6 ","F",78,647.34
"H00886","STATE 07","C6 ","F",78,640.23
"H00887","STATE 17","C11","M",78,636.65
"H00888","STATE 02","C11",,78,634.48
"H00889","STATE 03","C1 ","F",78,614.62
"H00890","STATE 13","C6 ","F",78,603.23
"H00891","STATE 17","C11","F",78,601.69
"H00892","STATE 02","C1B","F",78,549.12
"H00893","STATE 17","F6 ","M",78,532.49
"H00894","STATE 12","C1 ","M",78,523
"H00895","STATE 15","C6 ","F",78,500
"H00896","STATE 02","C11","F",78,485.1
"H00897","STATE 01","C6 ","M",,484.76
"H00898","STATE 04","C6 ","F",78,477.84
"H00899","STATE 15","C6 ","M",78,475
"H00900","STATE 15","C6 ","M",78,475
"H00901","STATE 03","C6 ","F",78,471.52
"H00902","STATE 15","C11","F",,463.96
"H00903","STATE 02","C11","M",78,462.93
"H00904","STATE 04","C11","F",78,460.22
"H00905","STATE 15","C6 ","F",,446.74
"H00906","STATE 15","C11","M",,439.89
"H00907","STATE 17","C6 ","F",,430.38
"H00908","STATE 02","C6 ","F",78,429.28
"H00909","STATE 15","C6 ","F",,388.71
"H00910","STATE 10","F6 ","M",78,357.29
"H00911","STATE 17","C6 ","F",78,353.7
"H00912","STATE 14","F11","M",78,353.51
"H00913","STATE 15","C11","M",78,338.47
"H00914","STATE 02","F6 ","F",78,327.13
"H00915","STATE 15","C6 ",,78,316.93
"H00916","STATE 02","C11","F",78,276.67
"H00917","STATE 15","C6 ","M",,224.7
"H00918","STATE 02","C11","M",78,169.67
"H00919","STATE 15","C6 ","F",,150.5
"H00920","STATE 15","C6 ","F",78,120.32
"H00921","STATE 01","C6 ","M",78,114.13
"H00922","STATE 13","C1 ","M",78,112.78
"H00923","STATE 04","C11","M",78,108.69
"H00924","STATE 17","C6 ","M",78,85
"H00925","STATE 15","F6 ","M",,52.4
"H00926","STATE 02","C11","M",78,50
"H00927","STATE 15","C1 ","M",77,12698.8
"H00928","STATE 14","F6 ","M",,12151.86
"H00929","STATE 15","C6 ","M",77,10036.66
"H00930","STATE 15","C6 ","M",77,6250.84
"H00931","STATE 17","C11","M",77,6031.2
"H00932","STATE 03","C11","M",77,5941.02
"H00933","STATE 12","C6 ","F",77,
"H00934","STATE 15","C11","F",77,
"H00935","STATE 15","C6 ","F",77,4875.39
"H00936","STATE 15","C6 ","M",,4474
"H00937","STATE 15","C6 ","M",,4451.39
"H00938","STATE 02","C6 ","M",,4164.34
"H00939","STATE 15","C11",,77,4126.23
"H00940","STATE 15","C6 ","M",77,3998.3
"H00941","STATE 03","C11","F",77,3968.51
"H00942","STATE 06","C6 ","M",77,3895.6
"H00943","STATE 15","C11","M",77,3591.6
"H00944","STATE 02","F6 ","F",77,3549.9
"H00945","STATE 02","C6 ","F",,3538.43
"H00946","STATE 17","C1 ","M",,3392.58
"H00947","STATE 15","C6 ","M",,3342.06
"H00948","STATE 15","C6 ","M",77,3103.18
"H00949","STATE 12","C6 ","M",77,2783.42
"H00950","STATE 15","C11","M",,2512.6
"H00951","STATE 04","C11","M",77,2412.71
"H00952","STATE 06","C6 ","M",77,2277.98
"H00953","STATE 15","C6 ","M",77,2264.59
"H00954","STATE 06","C1 ","M",77,2262.76
"H00955","STATE 04","C11","F",77,2180.01
"H00956","STATE 15","F6 ","M",,2083.86
"H00957","STATE 02","C6 ","M",77,1988.29
"H00958","STATE 02","C11","F",77,1979.14
"H00959","STATE 15","C6 ","F",,1879.51
"H00960","STATE 02","C6 ","F",77,1873.96
"H00961","STATE 03","F6 ","F",77,1792.54
"H00962","STATE 02","C1B","F",77,1745.82
"H00963","STATE 02","C11","M",77,1654.87
"H00964","STATE 04","F6 ","F",,1607.6
"H00965","STATE 13","F6 ","M",77,1543.36
"H00966","STATE 17","C6 ","F",77,1536.05
"H00967","STATE 15","C6 ","M",77,1475.44
"H00968","STATE 15","C6 ","M",,1436
"H00969","STATE 02","C6 ","F",77,1424.44
"H00970","STATE 02","C6 ","M",,1403.26
"H00971","STATE 01","F6 ","F",,1395.58
"H00972","STATE 01","C11","F",77,1342.83
"H00973","STATE 15","C6 ","M",77,1285
"H00974","STATE 15","C6 ","F",77,1278.57
"H00975","STATE 02","C11","F",77,1238
"H00976","STATE 14","C11","M",77,1208.67
"H00977","STATE 04","C11","M",77,1206.5
"H00978","STATE 02","C6 ","M",77,1180.56
"H00979","STATE 07","C6 ","F",77,1130
"H00980","STATE 15","C11","M",77,1081.71
"H00981","STATE 02","F6 ","M",,1074.87
"H00982","STATE 03","C1 ",,77,1033.84
"H00983","STATE 02","C11","F",77,1013.81
"H00984","STATE 15","C11","M",77,1013.34
"H00985","STATE 12","C11","F",77,964.72
"H00986","STATE 02","C1 ","M",77,950
"H00987","STATE 17","C6 ","F",77,921.86
"H00988","STATE 10","C6 ","F",,886.31
"H00989","STATE 12","C6 ","M",,884
"H00990","STATE 15","C6 ","M",77,877.43
"H00991","STATE 15","C11","M",77,815.8
"H00992","STATE 06","C6 ",,77,797.07
"H00993","STATE 15","C6 ","M",77,790.84
"H00994","STATE 01","C6 ","F",77,782.38
"H00995","STATE 07","C6 ","F",77,733
"H00996","STATE 06","C1 ","M",77,692.12
"H00997","STATE 15","C6 ","F",77,684.72
"H00998","STATE 15","C6 ","F",77,671.59
"H00999","STATE 02","C6 ","M",,655
"H01000","STATE 07","C6 ","M",77,638.17
"H01001","STATE 15","C11","M",77,610
"H01002","STATE 15","C6 ",,77,601.29
"H01003","STATE 15","C6 ","F",,598.48
"H01004","STATE 15","C11","M",77,560
"H01005","STATE 15","C6 ","M",77,556.89
"H01006","STATE 15","C11","M",77,543.62
"H01007","STATE 02","C11","F",77,541.02
"H01008","STATE 02","C11","M",77,522.31
"H01009","STATE 15","F6 ","M",,508.83
"H01010","STATE 14","C6 ","M",77,498.9
"H01011","STATE 15","C6 ","M",77,471.2
"H01012","STATE 02","C11","M",77,464.58
"H01013","STATE 02","C6 ","M",77,457.11
"H01014","STATE 17","C6 ","F",77,446.94
"H01015","STATE 04","C11","M",77,438.34
"H01016","STATE 04","C11","F",77,435.98
"H01017","STATE 01","C6 ","F",77,422.3
"H01018","STATE 04","C6 ","M",,420.31
"H01019","STATE 15","C6 ","F",,410.21
"H01020","STATE 06","C1 ","F",77,394.82
"H01021","STATE 15","C1 ","F",77,375
"H01022","STATE 04","C11","F",77,361.37
"H01023","STATE 02","C11","F",77,361.02
"H01024","STATE 17","C6 ","M",77,350.95
"H01025","STATE 17","C6 ","F",,335.83
"H01026","STATE 03","C11","M",77,298.36
"H01027","STATE 04","C11","M",77,296.6
"H01028","STATE 15","F6 ","F",77,280
"H01029","STATE 02","C11","M",77,268.92
"H01030","STATE 15","F6 ","F",77,264.6
"H01031","STATE 02","C6 ",,77,243.14
"H01032","STATE 06","C6 ","F",,202.04
"H01033","STATE 02","C6 ","F",77,200
"H01034","STATE 04","C6 ","M",77,171.7
"H01035","STATE 06","C6 ","F",77,149.04
"H01036","STATE 07","C6 ","M",77,134.04
"H01037","STATE 14","F6 ","M",77,60
"H01038","STATE 04","C2 ","M",77,40
"H01039","STATE 15","C11","F",77,39.07
"H01040","STATE 01","C6 ","M",77,26.42
"H01041","STATE 15","C11","M",76,
"H01042","STATE 15","C1 ","F",76,5778.48
"H01043","STATE 02","C11","F",76,5107
"H01044","STATE 02","F6 ","M",76,
"H01045","STATE 06","C6 ","F",,4314.82
"H01046","STATE 15","C6 ","M",,4156.17
"H01047","STATE 15","C11","F",76,3907
"H01048","STATE 02","C11","M",76,3759.64
"H01049","STATE 14","F6 ","M",76,3758.66
"H01050","STATE 15","C6 ","M",76,3685.6
"H01051","STATE 15","C6 ","M",,3680.74
"H01052","STATE 14","C11","F",76,3633.92
"H01053","STATE 07","C6 ","F",76,3454.22
"H01054","STATE 13","C1 ","M",76,3203.35
"H01055","STATE 15","C1B","M",76,3184.84
"H01056","STATE 02","C6 ","M",76,3138.2
"H01057","STATE 02","C1B","F",76,3094.47
"H01058","STATE 02","C1 ","M",76,3060.69
"H01059","STATE 15","C11","M",76,2879.38
"H01060","STATE 15","C6 ","F",76,2773.29
"H01061","STATE 15","C6 ","F",76,2329.88
"H01062","STATE 15","C6 ","F",76,2227.87
"H01063","STATE 15","C6 ","M",76,2171.93
"H01064","STATE 15","C6 ","M",76,2137.81
"H01065","STATE 02","C6 ","F",76,2112.41
"H01066","STATE 02","C11","F",76,2095.09
"H01067","STATE 15","C6 ","F",76,2084
"H01068","STATE 15","C11","M",76,2017.45
"H01069","STATE 15","F6 ","F",76,2000
"H01070","STATE 15","C11","M",76,1915.77
"H01071","STATE 02","C11","F",76,1836.79
"H01072","STATE 02","C6 ","F",,1759.52
"H01073","STATE 15","C11","F",76,1727.85
"H01074","STATE 06","C1 ","F",76,1700
"H01075","STATE 06","C6 ","F",76,1644.11
"H01076","STATE 10","C11","M",,1606.83
"H01077","STATE 01","C6 ","F",,1550
"H01078","STATE 13","F1 ","F",76,1539.82
"H01079","STATE 15","C11","F",,1470.35
"H01080","STATE 14","C11","M",76,1447.24
"H01081","STATE 17","C11","F",,1367.93
"H01082","STATE 15","C6 ","F",,1354.81
"H01083","STATE 15","C6 ","F",76,1344.7
"H01084","STATE 02","C6 ","F",76,1321.42
"H01085","STATE 15","C1 ","M",76,1271.55
"H01086","STATE 02","C6 ","F",,1252.25
"H01087","STATE 15","C6 ","F",76,1250.04
"H01088","STATE 04","C11","M",76,1232.67
"H01089","STATE 17","C11","F",76,1229.01
"H01090","STATE 01","C6 ",,,1194.26
"H01091","STATE 15","C6 ","F",76,1160.56
"H01092","STATE 01","F6 ","F",76,1145.85
"H01093","STATE 15","C1 ","M",76,1145.34
"H01094","STATE 10","C11","F",76,1138.5
"H01095","STATE 15","C6 ","M",76,1093.31
"H01096","STATE 06","C6 ","M",76,1063.48
"H01097","STATE 15","C11","M",76,1048.43
"H01098","STATE 02","C11","M",76,1046.07
"H01099","STATE 04","C11","M",76,1040
"H01100","STATE 12","C6 ","F",76,1011.24
"H01101","STATE 13","C11","F",76,1010.94
"H01102","STATE 17","C6 ","M",,910.38
"H01103","STATE 02","C6 ","M",,897.27
"H01104","STATE 04","C6 ","M",76,885.34
"H01105","STATE 15","C1 ",,76,862.83
"H01106","STATE 15","C1 ","F",76,836.97
"H01107","STATE 15","C6 ","F",,809.6
"H01108","STATE 04","C11","M",76,802.51
"H01109","STATE 14","C11",,76,781.14
"H01110","STATE 15","C6 ","F",,768.02
"H01111","STATE 10","C11","F",76,759.55
"H01112","STATE 15","C6 ","F",,750
"H01113","STATE 15","F11","M",76,744.2
"H01114","STATE 07","C6 ","M",76,714.16
